,mas,fem
Sociologia,39,64
Relaciones Industriales,147,384
Derecho,293,399
Economia,456,213
Educacion,127,272
Filosofia,23,6
Letras,41,93
Psicologia,180,626
Administracion de Empresas,579,401
Contaduria Publica,373,309
Comunicacion Social,541,1549
Ing. Civil,382,252
Ing. En Telecomunicaciones,394,170
Ing. Industrial,361,249
Ing. Informatica,697,117
